reward_mode,seed,episode,return,ext_return,int_return,solved,steps,overloads
random,0,1,1.594924245185401,-0.5,20.949242451854,0,50,4
random,0,2,1.8559857438313454,1.0,8.559857438313454,1,24,2
random,0,3,1.3633173935334777,-0.5,18.633173935334785,0,50,5
random,0,4,1.2994023561539083,-0.5,17.99402356153908,0,50,3
random,0,5,1.36102483036725,1.0,3.6102483036725,1,11,1
random,0,6,1.1779523967135794,-0.5,16.779523967135788,0,50,8
random,0,7,1.0775354222553184,-0.5,15.77535422255319,0,50,8
random,0,8,2.371389257728487,1.0,13.713892577284874,1,39,5
random,0,9,2.400839216542896,1.0,14.008392165428956,1,46,3
random,0,10,1.016122658010909,-0.5,15.161226580109092,0,50,7
random,0,11,1.2273503225175415,-0.5,17.273503225175414,0,50,6
random,0,12,2.677740799250531,1.0,16.777407992505307,1,32,6
random,0,13,1.7576443382630969,1.0,7.576443382630968,1,41,4
random,0,14,1.8341833810606294,1.0,8.341833810606294,1,22,2
random,0,15,1.0646534842103639,-0.5,15.64653484210364,0,50,6
random,0,16,0.8876893368560757,-0.5,13.876893368560758,0,50,5
random,0,17,1.222521944525537,-0.5,17.22521944525537,0,50,6
random,0,18,1.718177536920227,1.0,7.1817753692022706,1,15,1
random,0,19,1.2026308309214016,-0.5,17.026308309214013,0,50,7
random,0,20,1.3569874807819131,-0.5,18.56987480781912,0,50,10
random,0,21,1.1875081082824575,-0.5,16.875081082824575,0,50,6
random,0,22,1.2254310165117184,-0.5,17.254310165117186,0,50,7
random,0,23,0.9512256772991515,-0.5,14.512256772991513,0,50,8
random,0,24,1.6052691351491104,1.0,6.052691351491105,1,15,2
random,0,25,1.3547152766726651,-0.5,18.54715276672665,0,50,8
random,0,26,1.426308026477051,-0.5,19.2630802647705,0,50,5
random,0,27,2.4063284528590607,1.0,14.063284528590609,1,44,1
random,0,28,2.1531247520014554,1.0,11.531247520014553,1,36,1
random,0,29,1.34295544986348,-0.5,18.429554498634797,0,50,5
random,0,30,1.3199431288416978,-0.5,18.199431288416974,0,50,3
random,0,31,1.1558494758239959,1.0,1.558494758239957,1,7,0
random,0,32,0.7931031788577176,-0.5,12.931031788577174,0,50,5
random,0,33,2.2224313542752956,1.0,12.224313542752954,1,28,5
random,0,34,1.3367330240180417,-0.5,18.36733024018041,0,50,8
random,0,35,1.0918752968784438,-0.5,15.918752968784432,0,50,7
random,0,36,1.126394376085571,-0.5,16.26394376085571,0,50,6
random,0,37,1.2342937735095922,-0.5,17.342937735095916,0,50,5
random,0,38,1.197380947548541,-0.5,16.97380947548541,0,50,4
random,0,39,0.787052732488795,-0.5,12.870527324887954,0,50,3
random,0,40,1.4197051856415377,-0.5,19.19705185641538,0,50,7
