condition,seed,eval_success_rate,eval_mean_steps_to_solve,eval_mean_ep_len,eval_mean_overloads_per_ep,eval_n_episodes,final_wm_kl_to_truth,final_wm_top1_acc,final_wm_coverage_5,final_success_rate,final_mean_overloads_per_ep,final_entropy,final_mean_int_reward_per_step
expected_info_gain,0,0.16666666666666666,119.1,269.85,38.31666666666667,60,0.013148633703019916,1.0,1.0,0.3,41.81,1.2844747006893158,0.000330165377818048
expected_info_gain,1,0.05,238.66666666666666,296.93333333333334,51.9,60,0.01271622008203186,1.0,1.0,0.28,45.29,1.3364654183387756,0.00068958371412009
expected_info_gain,2,0.3333333333333333,107.2,235.73333333333332,41.916666666666664,60,0.013264292469202328,1.0,1.0,0.2,46.41,1.3218842446804047,0.0002926531306002289
hybrid,0,0.15,142.77777777777777,276.4166666666667,44.88333333333333,60,0.018458704165878494,1.0,1.0,0.01,41.08,1.3318770825862885,4.893074989318848
hybrid,1,0.016666666666666666,192.0,298.2,31.366666666666667,60,0.018133439596174895,1.0,1.0,0.09,39.41,1.2080388069152832,4.770398139953613
hybrid,2,0.06666666666666667,177.5,291.8333333333333,51.7,60,0.01879384689947291,1.0,1.0,0.07,34.13,1.1931191682815552,4.728342056274414
info_gain,0,0.2,86.08333333333333,257.21666666666664,31.183333333333334,60,0.020497363330004844,1.0,1.0,0.23,40.24,1.329385221004486,4.567773714825307e-07
info_gain,1,0.2,89.66666666666667,257.93333333333334,38.3,60,0.022398949180146725,1.0,1.0,0.19,40.51,1.300427883863449,1.4887411907693604e-06
info_gain,2,0.23333333333333334,99.42857142857143,253.2,27.75,60,0.0208732413345689,1.0,1.0,0.23,37.56,1.2267665266990662,1.6554984085814795e-06
novelty,0,0.08333333333333333,147.6,287.3,48.733333333333334,60,0.016022522666301078,1.0,1.0,0.03,49.69,1.3584554195404053,11.603778839111328
novelty,1,0.06666666666666667,185.0,292.3333333333333,49.15,60,0.015551514119815356,1.0,1.0,0.16,46.62,1.34148508310318,11.409379959106445
novelty,2,0.16666666666666666,133.3,272.21666666666664,40.0,60,0.015624984949725909,1.0,1.0,0.14,49.78,1.2072615921497345,11.388309478759766
random,0,0.2,210.16666666666666,282.03333333333336,52.71666666666667,60,0.010852052689950415,1.0,1.0,0.1,54.76,1.3862943611198906,0.0
random,1,0.16666666666666666,141.0,273.5,49.55,60,0.011109199160377599,1.0,1.0,0.08,53.71,1.3862943611198906,0.0
random,2,0.11666666666666667,178.71428571428572,285.85,53.583333333333336,60,0.011093155558206095,1.0,1.0,0.1,52.42,1.3862943611198906,0.0
surprisal,0,0.21666666666666667,185.0,275.0833333333333,54.5,60,0.012217415948363626,1.0,1.0,0.16,50.44,1.3223629295825958,0.002287281211465597
surprisal,1,0.48333333333333334,118.79310344827586,212.41666666666666,36.833333333333336,60,0.012390079721676085,1.0,1.0,0.39,42.84,1.2406046092510223,0.0007463574293069541
surprisal,2,0.3333333333333333,152.95,250.98333333333332,46.93333333333333,60,0.011663172891434634,1.0,1.0,0.28,49.16,1.1763472855091095,0.0016439638566225767
