agent,seed_index,seed,state_id,state,action_id,action,q_value
Epsilon-greedy Q-learning,3,126,5,magenta,1,green,0.53826
Epsilon-greedy Q-learning,3,126,5,magenta,2,blue,0.53426816621438
Epsilon-greedy Q-learning,3,126,6,cyan,0,red,0.37666552953725324
Epsilon-greedy Q-learning,3,126,6,cyan,1,green,0.06119311518359744
Epsilon-greedy Q-learning,3,126,6,cyan,2,blue,-0.006682385707464002
Epsilon-greedy Q-learning,3,126,7,white,0,red,0.0
Epsilon-greedy Q-learning,3,126,7,white,1,green,0.0
Epsilon-greedy Q-learning,3,126,7,white,2,blue,0.0
Epsilon-greedy Q-learning,4,127,0,black,0,red,0.6649499999722419
Epsilon-greedy Q-learning,4,127,0,black,1,green,0.24411456042095436
Epsilon-greedy Q-learning,4,127,0,black,2,blue,0.48609041075336296
Epsilon-greedy Q-learning,4,127,1,red,0,red,0.40182452512143146
Epsilon-greedy Q-learning,4,127,1,red,1,green,0.312999213960392
Epsilon-greedy Q-learning,4,127,1,red,2,blue,0.720999999997968
Epsilon-greedy Q-learning,4,127,2,green,0,red,-0.006
Epsilon-greedy Q-learning,4,127,2,green,1,green,0.4871900115508449
Epsilon-greedy Q-learning,4,127,2,green,2,blue,-0.01314
Epsilon-greedy Q-learning,4,127,3,blue,0,red,0.6738532919329335
Epsilon-greedy Q-learning,4,127,3,blue,1,green,0.06349222355149774
Epsilon-greedy Q-learning,4,127,3,blue,2,blue,0.1017692114347952
Epsilon-greedy Q-learning,4,127,4,yellow,0,red,0.5328370815550451
Epsilon-greedy Q-learning,4,127,4,yellow,1,green,-0.00771
Epsilon-greedy Q-learning,4,127,4,yellow,2,blue,0.0
Epsilon-greedy Q-learning,4,127,5,magenta,0,red,0.47951461931145506
Epsilon-greedy Q-learning,4,127,5,magenta,1,green,0.7799999999999271
Epsilon-greedy Q-learning,4,127,5,magenta,2,blue,0.48850283726849153
Epsilon-greedy Q-learning,4,127,6,cyan,0,red,0.03988251600000001
Epsilon-greedy Q-learning,4,127,6,cyan,1,green,0.09539536065484239
Epsilon-greedy Q-learning,4,127,6,cyan,2,blue,-0.004036503059250003
Epsilon-greedy Q-learning,4,127,7,white,0,red,0.0
Epsilon-greedy Q-learning,4,127,7,white,1,green,0.0
Epsilon-greedy Q-learning,4,127,7,white,2,blue,0.0
Epsilon-greedy Q-learning,5,128,0,black,0,red,0.8304170570640634
Epsilon-greedy Q-learning,5,128,0,black,1,green,0.7468931491914204
Epsilon-greedy Q-learning,5,128,0,black,2,blue,0.3551239541642051
Epsilon-greedy Q-learning,5,128,1,red,0,red,0.7790869265365208
Epsilon-greedy Q-learning,5,128,1,red,1,green,0.9048461637104354
Epsilon-greedy Q-learning,5,128,1,red,2,blue,0.3593931458263349
Epsilon-greedy Q-learning,5,128,2,green,0,red,0.8839712290691337
Epsilon-greedy Q-learning,5,128,2,green,1,green,-0.009744899999999999
Epsilon-greedy Q-learning,5,128,2,green,2,blue,-0.01314
Epsilon-greedy Q-learning,5,128,3,blue,0,red,0.38436485146845256
Epsilon-greedy Q-learning,5,128,3,blue,1,green,0.02228999999999999
Epsilon-greedy Q-learning,5,128,3,blue,2,blue,-0.008907
Epsilon-greedy Q-learning,5,128,4,yellow,0,red,0.721804043609548
Epsilon-greedy Q-learning,5,128,4,yellow,1,green,0.7519640530931848
Epsilon-greedy Q-learning,5,128,4,yellow,2,blue,0.978837331875116
Epsilon-greedy Q-learning,5,128,5,magenta,0,red,0.17839479071076714
Epsilon-greedy Q-learning,5,128,5,magenta,1,green,0.549244352914066
Epsilon-greedy Q-learning,5,128,5,magenta,2,blue,0.17553368630604627
Epsilon-greedy Q-learning,5,128,6,cyan,0,red,0.08879999999999999
Epsilon-greedy Q-learning,5,128,6,cyan,1,green,-0.00771
Epsilon-greedy Q-learning,5,128,6,cyan,2,blue,-0.006
Epsilon-greedy Q-learning,5,128,7,white,0,red,0.0
Epsilon-greedy Q-learning,5,128,7,white,1,green,0.0
Epsilon-greedy Q-learning,5,128,7,white,2,blue,0.0
Epsilon-greedy Q-learning,6,129,0,black,0,red,0.8304170570640634
Epsilon-greedy Q-learning,6,129,0,black,1,green,0.6704891244624116
Epsilon-greedy Q-learning,6,129,0,black,2,blue,0.4053574289583036
Epsilon-greedy Q-learning,6,129,1,red,0,red,0.779021745935266
Epsilon-greedy Q-learning,6,129,1,red,1,green,0.9048461637104354
Epsilon-greedy Q-learning,6,129,1,red,2,blue,0.49568053918861565
Epsilon-greedy Q-learning,6,129,2,green,0,red,0.8509324209869027
Epsilon-greedy Q-learning,6,129,2,green,1,green,0.06615052936502917
Epsilon-greedy Q-learning,6,129,2,green,2,blue,-0.006
Epsilon-greedy Q-learning,6,129,3,blue,0,red,0.4208871583013051
Epsilon-greedy Q-learning,6,129,3,blue,1,green,0.0345769723833295
Epsilon-greedy Q-learning,6,129,3,blue,2,blue,0.07476096380036495
Epsilon-greedy Q-learning,6,129,4,yellow,0,red,0.765623454992408
Epsilon-greedy Q-learning,6,129,4,yellow,1,green,0.7754563033950119
Epsilon-greedy Q-learning,6,129,4,yellow,2,blue,0.978837331875116
Epsilon-greedy Q-learning,6,129,5,magenta,0,red,0.2722030759723885
Epsilon-greedy Q-learning,6,129,5,magenta,1,green,0.6811932450965394
Epsilon-greedy Q-learning,6,129,5,magenta,2,blue,0.07629617643933405
Epsilon-greedy Q-learning,6,129,6,cyan,0,red,0.0
Epsilon-greedy Q-learning,6,129,6,cyan,1,green,0.08905558057177965
Epsilon-greedy Q-learning,6,129,6,cyan,2,blue,-0.008907
Epsilon-greedy Q-learning,6,129,7,white,0,red,0.0
Epsilon-greedy Q-learning,6,129,7,white,1,green,0.0
Epsilon-greedy Q-learning,6,129,7,white,2,blue,0.0
Epsilon-greedy Q-learning,7,130,0,black,0,red,0.3956856869065992
Epsilon-greedy Q-learning,7,130,0,black,1,green,0.48444999999999966
Epsilon-greedy Q-learning,7,130,0,black,2,blue,0.38057933019234713
Epsilon-greedy Q-learning,7,130,1,red,0,red,0.4399215336795145
Epsilon-greedy Q-learning,7,130,1,red,1,green,-0.006
Epsilon-greedy Q-learning,7,130,1,red,2,blue,-0.006
Epsilon-greedy Q-learning,7,130,2,green,0,red,0.5309999999999997
Epsilon-greedy Q-learning,7,130,2,green,1,green,0.4398412201684155
Epsilon-greedy Q-learning,7,130,2,green,2,blue,0.33999328736991663
Epsilon-greedy Q-learning,7,130,3,blue,0,red,0.0
Epsilon-greedy Q-learning,7,130,3,blue,1,green,-0.0102
Epsilon-greedy Q-learning,7,130,3,blue,2,blue,0.4371671125288154
Epsilon-greedy Q-learning,7,130,4,yellow,0,red,0.42904063351153615
Epsilon-greedy Q-learning,7,130,4,yellow,1,green,0.44015408554558455
Epsilon-greedy Q-learning,7,130,4,yellow,2,blue,0.5799999999999998
Epsilon-greedy Q-learning,7,130,5,magenta,0,red,0.0
Epsilon-greedy Q-learning,7,130,5,magenta,1,green,0.23399999999999999
Epsilon-greedy Q-learning,7,130,5,magenta,2,blue,0.0
Epsilon-greedy Q-learning,7,130,6,cyan,0,red,0.3798984619473683
Epsilon-greedy Q-learning,7,130,6,cyan,1,green,0.10569335787334914
Epsilon-greedy Q-learning,7,130,6,cyan,2,blue,0.08274546391072282
Epsilon-greedy Q-learning,7,130,7,white,0,red,0.0
Epsilon-greedy Q-learning,7,130,7,white,1,green,0.0
Epsilon-greedy Q-learning,7,130,7,white,2,blue,0.0
Epsilon-greedy Q-learning,8,131,0,black,0,red,0.8454499999999996
Epsilon-greedy Q-learning,8,131,0,black,1,green,0.7872602638664568
Epsilon-greedy Q-learning,8,131,0,black,2,blue,0.5117347302196615
Epsilon-greedy Q-learning,8,131,1,red,0,red,0.7374455955165288
Epsilon-greedy Q-learning,8,131,1,red,1,green,0.9109999999999997
Epsilon-greedy Q-learning,8,131,1,red,2,blue,0.42470850697070095
Epsilon-greedy Q-learning,8,131,2,green,0,red,0.9002595759261952
Epsilon-greedy Q-learning,8,131,2,green,1,green,0.3582848541508825
Epsilon-greedy Q-learning,8,131,2,green,2,blue,0.23296341716965127
Epsilon-greedy Q-learning,8,131,3,blue,0,red,0.0
Epsilon-greedy Q-learning,8,131,3,blue,1,green,0.6591253770407608
Epsilon-greedy Q-learning,8,131,3,blue,2,blue,0.0
Epsilon-greedy Q-learning,8,131,4,yellow,0,red,0.7725123977416507
Epsilon-greedy Q-learning,8,131,4,yellow,1,green,0.7826312259338082
Epsilon-greedy Q-learning,8,131,4,yellow,2,blue,0.9799999999999999
Epsilon-greedy Q-learning,8,131,5,magenta,0,red,0.0
Epsilon-greedy Q-learning,8,131,5,magenta,1,green,0.0
Epsilon-greedy Q-learning,8,131,5,magenta,2,blue,0.6944279358324967
Epsilon-greedy Q-learning,8,131,6,cyan,0,red,0.0609729
Epsilon-greedy Q-learning,8,131,6,cyan,1,green,0.7675085966102174
Epsilon-greedy Q-learning,8,131,6,cyan,2,blue,0.15298722107159193
Epsilon-greedy Q-learning,8,131,7,white,0,red,0.0
Epsilon-greedy Q-learning,8,131,7,white,1,green,0.0
Epsilon-greedy Q-learning,8,131,7,white,2,blue,0.0
Epsilon-greedy Q-learning,9,132,0,black,0,red,0.6649499999999996
Epsilon-greedy Q-learning,9,132,0,black,1,green,0.49753597490373813
Epsilon-greedy Q-learning,9,132,0,black,2,blue,0.5446139779879912
Epsilon-greedy Q-learning,9,132,1,red,0,red,0.5396114844138082
Epsilon-greedy Q-learning,9,132,1,red,1,green,0.5591742156514841
Epsilon-greedy Q-learning,9,132,1,red,2,blue,0.7209999999999998
Epsilon-greedy Q-learning,9,132,2,green,0,red,-0.006
Epsilon-greedy Q-learning,9,132,2,green,1,green,0.5926301232116454
Epsilon-greedy Q-learning,9,132,2,green,2,blue,0.02228999999999999
Epsilon-greedy Q-learning,9,132,3,blue,0,red,-0.006
Epsilon-greedy Q-learning,9,132,3,blue,1,green,-0.006
Epsilon-greedy Q-learning,9,132,3,blue,2,blue,0.6094162516303494
Epsilon-greedy Q-learning,9,132,4,yellow,0,red,0.17224564828216854
Epsilon-greedy Q-learning,9,132,4,yellow,1,green,0.6114967993629771
Epsilon-greedy Q-learning,9,132,4,yellow,2,blue,0.294
Epsilon-greedy Q-learning,9,132,5,magenta,0,red,0.6070004203176541
Epsilon-greedy Q-learning,9,132,5,magenta,1,green,0.7799999999999999
Epsilon-greedy Q-learning,9,132,5,magenta,2,blue,0.6081317486700223
Epsilon-greedy Q-learning,9,132,6,cyan,0,red,0.19379999999999997
Epsilon-greedy Q-learning,9,132,6,cyan,1,green,-0.006
Epsilon-greedy Q-learning,9,132,6,cyan,2,blue,0.0
Epsilon-greedy Q-learning,9,132,7,white,0,red,0.0
Epsilon-greedy Q-learning,9,132,7,white,1,green,0.0
Epsilon-greedy Q-learning,9,132,7,white,2,blue,0.0
Epsilon-greedy Q-learning,10,133,0,black,0,red,0.480736737698116
Epsilon-greedy Q-learning,10,133,0,black,1,green,0.48746575336595654
Epsilon-greedy Q-learning,10,133,0,black,2,blue,0.376675315634069
Epsilon-greedy Q-learning,10,133,1,red,0,red,0.12532624532717251
Epsilon-greedy Q-learning,10,133,1,red,1,green,0.5306252832797576
Epsilon-greedy Q-learning,10,133,1,red,2,blue,0.002250000000000002
Epsilon-greedy Q-learning,10,133,2,green,0,red,0.5317796881211906
Epsilon-greedy Q-learning,10,133,2,green,1,green,0.43774098398138334
Epsilon-greedy Q-learning,10,133,2,green,2,blue,0.39628300765015934
Epsilon-greedy Q-learning,10,133,3,blue,0,red,0.022154588143935207
Epsilon-greedy Q-learning,10,133,3,blue,1,green,0.1871631636771431
Epsilon-greedy Q-learning,10,133,3,blue,2,blue,0.44194898272910565
Epsilon-greedy Q-learning,10,133,4,yellow,0,red,0.4387154304191934
Epsilon-greedy Q-learning,10,133,4,yellow,1,green,0.45290358918602747
Epsilon-greedy Q-learning,10,133,4,yellow,2,blue,0.5800957508439706
Epsilon-greedy Q-learning,10,133,5,magenta,0,red,0.08574319895001631
Epsilon-greedy Q-learning,10,133,5,magenta,1,green,0.054000000000000006
Epsilon-greedy Q-learning,10,133,5,magenta,2,blue,-0.0025232191694403014
Epsilon-greedy Q-learning,10,133,6,cyan,0,red,0.136162668124884
Epsilon-greedy Q-learning,10,133,6,cyan,1,green,0.09584039824390886
Epsilon-greedy Q-learning,10,133,6,cyan,2,blue,0.4400007678210655
Epsilon-greedy Q-learning,10,133,7,white,0,red,0.0
Epsilon-greedy Q-learning,10,133,7,white,1,green,0.0
Epsilon-greedy Q-learning,10,133,7,white,2,blue,0.0
Epsilon-greedy Q-learning,11,134,0,black,0,red,0.4030659529933096
Epsilon-greedy Q-learning,11,134,0,black,1,green,0.48444999999999966
Epsilon-greedy Q-learning,11,134,0,black,2,blue,0.4017412863331788
Epsilon-greedy Q-learning,11,134,1,red,0,red,-0.01418781234
Epsilon-greedy Q-learning,11,134,1,red,1,green,-0.0102
Epsilon-greedy Q-learning,11,134,1,red,2,blue,0.4694804581465719
Epsilon-greedy Q-learning,11,134,2,green,0,red,0.5309999999999997
Epsilon-greedy Q-learning,11,134,2,green,1,green,0.43774846464791245
Epsilon-greedy Q-learning,11,134,2,green,2,blue,0.3124973071748127
Epsilon-greedy Q-learning,11,134,3,blue,0,red,0.4453351815491804
Epsilon-greedy Q-learning,11,134,3,blue,1,green,0.010465703630628199
Epsilon-greedy Q-learning,11,134,3,blue,2,blue,0.028802517302804465
Epsilon-greedy Q-learning,11,134,4,yellow,0,red,0.4362481434743033
Epsilon-greedy Q-learning,11,134,4,yellow,1,green,0.4378487151476106
Epsilon-greedy Q-learning,11,134,4,yellow,2,blue,0.5799999999999998
Epsilon-greedy Q-learning,11,134,5,magenta,0,red,0.05602653033732928
Epsilon-greedy Q-learning,11,134,5,magenta,1,green,0.35446279158516925
Epsilon-greedy Q-learning,11,134,5,magenta,2,blue,0.031591353970077396
Epsilon-greedy Q-learning,11,134,6,cyan,0,red,0.3751610693180885
Epsilon-greedy Q-learning,11,134,6,cyan,1,green,-0.007526251463295003
Epsilon-greedy Q-learning,11,134,6,cyan,2,blue,-0.012561121264573533
Epsilon-greedy Q-learning,11,134,7,white,0,red,0.0
Epsilon-greedy Q-learning,11,134,7,white,1,green,0.0
Epsilon-greedy Q-learning,11,134,7,white,2,blue,0.0
Epsilon-greedy Q-learning,12,135,0,black,0,red,0.8454499999999996
Epsilon-greedy Q-learning,12,135,0,black,1,green,0.6371738881402582
Epsilon-greedy Q-learning,12,135,0,black,2,blue,0.46313661445247306
Epsilon-greedy Q-learning,12,135,1,red,0,red,0.7728184382078281
Epsilon-greedy Q-learning,12,135,1,red,1,green,0.9109999999999997
Epsilon-greedy Q-learning,12,135,1,red,2,blue,0.7209999999999998
Epsilon-greedy Q-learning,12,135,2,green,0,red,-0.0102
Epsilon-greedy Q-learning,12,135,2,green,1,green,0.22871834999999985
