reward_mode,seed,episode,return,ext_return,int_return,solved,steps,overloads
random,1,1,1.285582624853808,-0.5,17.855826248538072,0,50,5
random,1,2,1.1056601178341037,-0.5,16.056601178341037,0,50,8
random,1,3,1.2951943655419447,-0.5,17.95194365541944,0,50,10
random,1,4,0.6940868637883298,-0.5,11.940868637883298,0,50,4
random,1,5,0.6394141166500664,-0.5,11.394141166500663,0,50,4
random,1,6,0.7543615150358178,-0.5,12.54361515035818,0,50,4
random,1,7,2.2722377003502388,1.0,12.72237700350239,1,45,6
random,1,8,1.2458067416921266,1.0,2.458067416921265,1,6,0
random,1,9,0.36996555702191647,-0.5,8.699655570219164,0,50,2
random,1,10,2.1592944450976113,1.0,11.59294445097611,1,48,6
random,1,11,0.7369241681928373,-0.5,12.369241681928376,0,50,3
random,1,12,1.369576164914393,-0.5,18.695761649143925,0,50,7
random,1,13,2.2840065899025728,1.0,12.840065899025722,1,39,4
random,1,14,1.0458572883488482,-0.5,15.458572883488479,0,50,8
random,1,15,1.7113298650498276,-0.5,22.113298650498283,0,50,7
random,1,16,1.9052819453108005,1.0,9.052819453108006,1,30,1
random,1,17,1.0020517801812208,-0.5,15.020517801812213,0,50,5
random,1,18,0.5722115734159141,-0.5,10.72211573415914,0,50,5
random,1,19,1.0093411290077832,-0.5,15.093411290077835,0,50,6
random,1,20,1.359040783406527,-0.5,18.590407834065264,0,50,6
random,1,21,1.1213272513759458,-0.5,16.213272513759456,0,50,6
random,1,22,1.2893766385655467,-0.5,17.893766385655464,0,50,7
random,1,23,0.9152082049842564,-0.5,14.152082049842559,0,50,1
random,1,24,1.5890331952679468,1.0,5.890331952679468,1,23,1
random,1,25,1.37595935230942,-0.5,18.7595935230942,0,50,8
random,1,26,0.8278385922930873,-0.5,13.278385922930875,0,50,5
random,1,27,0.6292305289463154,-0.5,11.292305289463155,0,50,5
random,1,28,0.7841794579955672,-0.5,12.84179457995567,0,50,7
random,1,29,1.003927510287389,-0.5,15.039275102873889,0,50,6
random,1,30,1.364698317693348,-0.5,18.64698317693348,0,50,9
random,1,31,1.1264860811251838,-0.5,16.264860811251843,0,50,4
random,1,32,1.1386743430883786,1.0,1.3867434308837858,1,6,0
random,1,33,2.2945174056024644,1.0,12.945174056024644,1,43,8
random,1,34,1.2043903805398373,-0.5,17.043903805398372,0,50,8
random,1,35,1.4946485973975043,-0.5,19.94648597397504,0,50,7
random,1,36,0.9152348919730326,-0.5,14.152348919730324,0,50,6
random,1,37,1.211625410760614,-0.5,17.116254107606135,0,50,3
random,1,38,1.1835843846536216,-0.5,16.835843846536218,0,50,7
