reward_mode,seed,episode,return,ext_return,int_return,solved,steps,overloads
random,2,1,2.0575444278047605,1.0,10.575444278047609,1,33,6
random,2,2,1.4639794900029715,-0.5,19.639794900029713,0,50,6
random,2,3,1.8368126881955256,-0.5,23.368126881955266,0,50,7
random,2,4,1.2114427041276628,-0.5,17.114427041276628,0,50,5
random,2,5,0.7522319888829725,-0.5,12.522319888829726,0,50,2
random,2,6,1.3507327905858286,-0.5,18.50732790585829,0,50,5
random,2,7,0.9281649075591891,-0.5,14.281649075591892,0,50,6
random,2,8,1.579862789270417,-0.5,20.79862789270417,0,50,8
random,2,9,1.0631282036225875,-0.5,15.63128203622588,0,50,7
random,2,10,1.2670517803434909,-0.5,17.670517803434908,0,50,5
random,2,11,0.7325322517005803,-0.5,12.325322517005805,0,50,1
random,2,12,1.782582726238333,1.0,7.82582726238333,1,27,2
random,2,13,1.1697523865512678,-0.5,16.697523865512675,0,50,8
random,2,14,1.383987246640575,-0.5,18.839872466405744,0,50,6
random,2,15,2.4795492110127486,1.0,14.795492110127485,1,39,4
random,2,16,0.8200487217410299,-0.5,13.200487217410299,0,50,1
random,2,17,2.3785659262235788,1.0,13.785659262235793,1,40,2
random,2,18,0.88700813213981,-0.5,13.870081321398098,0,50,8
random,2,19,0.8176835932227701,-0.5,13.176835932227696,0,50,7
random,2,20,2.2919435589271933,1.0,12.919435589271933,1,35,2
random,2,21,2.3134803445515115,1.0,13.134803445515113,1,34,0
random,2,22,1.21592734628155,-0.5,17.1592734628155,0,50,8
random,2,23,1.075418964767679,-0.5,15.754189647676789,0,50,7
random,2,24,1.2032973582267348,1.0,2.0329735822673474,1,6,0
random,2,25,1.039111524099127,-0.5,15.391115240991272,0,50,1
random,2,26,1.0832288864211246,-0.5,15.832288864211241,0,50,9
random,2,27,1.2473603418490158,-0.5,17.47360341849016,0,50,8
random,2,28,1.36448527052945,1.0,3.6448527052944986,1,17,1
random,2,29,2.1466639100798264,1.0,11.466639100798265,1,38,6
random,2,30,1.5823311243670681,-0.5,20.82331124367068,0,50,9
random,2,31,1.0764960008060778,-0.5,15.764960008060779,0,50,8
random,2,32,0.813196379453639,-0.5,13.131963794536388,0,50,4
random,2,33,1.2603660334274225,-0.5,17.603660334274224,0,50,2
random,2,34,0.9234069901911324,-0.5,14.234069901911317,0,50,5
random,2,35,1.1582001604648033,-0.5,16.58200160464803,0,50,5
random,2,36,1.2710191524010224,-0.5,17.710191524010227,0,50,6
random,2,37,1.5886243130955078,1.0,5.886243130955076,1,17,0
random,2,38,1.2330635821219147,-0.5,17.33063582121914,0,50,6
random,2,39,1.1149758098376021,-0.5,16.14975809837602,0,50,6
random,2,40,1.3407347627892767,-0.5,18.407347627892772,0,50,6
random,2,41,1.3308798582302008,-0.5,18.308798582302018,0,50,3
random,2,42,1.5757471596863029,1.0,5.757471596863028,1,20,2
random,2,43,1.1482242847117834,-0.5,16.482242847117835,0,50,5
random,2,44,0.9935317320314354,-0.5,14.935317320314358,0,50,8
random,2,45,2.175385569896628,1.0,11.753855698966282,1,38,1
random,2,46,1.1819805316321117,1.0,1.8198053163211165,1,5,0
random,2,47,0.8985513838155619,-0.5,13.985513838155619,0,50,3
random,2,48,0.9485349838372235,-0.5,14.485349838372231,0,50,6
random,2,49,2.6082376897546355,1.0,16.082376897546354,1,50,6
random,2,50,1.4796792402815293,-0.5,19.7967924028153,0,50,2
random,2,51,1.3750740058431394,-0.5,18.750740058431393,0,50,7
random,2,52,1.121115304438599,-0.5,16.211153044385988,0,50,4
random,2,53,1.1328090062596443,-0.5,16.32809006259644,0,50,7
random,2,54,1.056649377495902,-0.5,15.56649377495902,0,50,5
random,2,55,0.900860355148873,-0.5,14.008603551488727,0,50,2
random,2,56,1.1748601521410642,-0.5,16.748601521410635,0,50,4
random,2,57,0.8185229294137719,-0.5,13.185229294137718,0,50,1
random,2,58,1.651469580264718,-0.5,21.514695802647175,0,50,7
random,2,59,2.522313903326931,1.0,15.223139033269314,1,49,8
