reward_mode,seed,episode,return,ext_return,int_return,solved,steps,overloads
dirichlet IG,1,1,-0.1088538712111164,-0.5,3.911461287888835,0,50,5
dirichlet IG,1,2,1.1966350377120878,1.0,1.966350377120877,1,25,3
dirichlet IG,1,3,1.022640744176174,1.0,0.22640744176174055,1,6,0
dirichlet IG,1,4,-0.35690716909443276,-0.5,1.4309283090556728,0,50,8
dirichlet IG,1,5,-0.42798484161837735,-0.5,0.720151583816226,0,50,5
dirichlet IG,1,6,1.0489358961870654,1.0,0.48935896187065353,1,38,4
dirichlet IG,1,7,-0.4742982136888633,-0.5,0.25701786311136665,0,50,7
dirichlet IG,1,8,-0.4354616341417705,-0.5,0.6453836585822947,0,50,5
dirichlet IG,1,9,1.0037888516362283,1.0,0.03788851636228241,1,8,0
dirichlet IG,1,10,-0.4830175213383815,-0.5,0.16982478661618527,0,50,5
dirichlet IG,1,11,-0.49351402507371794,-0.5,0.06485974926282045,0,50,6
dirichlet IG,1,12,-0.48017331505890914,-0.5,0.19826684941090855,0,50,8
dirichlet IG,1,13,-0.4956872306077524,-0.5,0.04312769392247606,0,50,2
dirichlet IG,1,14,-0.4940133836665066,-0.5,0.059866163334934,0,50,7
dirichlet IG,1,15,-0.4926827796218768,-0.5,0.0731722037812319,0,50,6
dirichlet IG,1,16,1.019286463325384,1.0,0.1928646332538393,1,44,5
dirichlet IG,1,17,-0.4902547474483342,-0.5,0.09745252551665784,0,50,6
dirichlet IG,1,18,1.0015979338229921,1.0,0.015979338229921147,1,22,1
dirichlet IG,1,19,1.0113631737305995,1.0,0.11363173730599474,1,20,2
dirichlet IG,1,20,1.0010165424891833,1.0,0.01016542489183303,1,5,0
dirichlet IG,1,21,-0.4646931209035009,-0.5,0.3530687909649912,0,50,6
dirichlet IG,1,22,-0.48063777207966046,-0.5,0.19362227920339503,0,50,7
dirichlet IG,1,23,-0.49904070637470166,-0.5,0.009592936252983186,0,50,3
dirichlet IG,1,24,-0.4956010140228203,-0.5,0.0439898597717967,0,50,5
dirichlet IG,1,25,-0.4924366816000466,-0.5,0.07563318399953367,0,50,8
dirichlet IG,1,26,-0.4968524031267014,-0.5,0.03147596873298575,0,50,2
dirichlet IG,1,27,-0.4876609281562985,-0.5,0.12339071843701488,0,50,6
dirichlet IG,1,28,-0.4996359469074091,-0.5,0.0036405309259093244,0,50,2
dirichlet IG,1,29,-0.4996564385722426,-0.5,0.003435614277573773,0,50,2
dirichlet IG,1,30,-0.4993880274503543,-0.5,0.006119725496456674,0,50,4
dirichlet IG,1,31,-0.4993551582411025,-0.5,0.006448417588975186,0,50,5
dirichlet IG,1,32,-0.49356224204210625,-0.5,0.0643775795789372,0,50,7
